MOF	molecule	K	K_predict
ABUWOJ	hydrogen cyanide	0.00014903100000000002	8.519155846411904e-05
ABUWOJ	ethene	0.000164476	0.00014010937018591518
ABUWOJ	ethane	0.000347291	0.00019783714178329978
ABUWOJ	acetonitrile	0.00191999	0.0027543918942231752
ABUWOJ	acetaldehyde	0.0022418000000000004	0.003532977416984544
ABUWOJ	propene	0.00253675	0.002764015038515284
ABUWOJ	dimethyl ether	0.00252818	0.004850652180618122
ABUWOJ	ethylamine	0.0062408	0.005543291353745142
ABUWOJ	propionitrile	0.013547700000000001	0.018508835639405113
ABUWOJ	dimethylamine	0.00840334	0.005170362572206102
ABUWOJ	isobutane	0.00815502	0.011127181337425494
ABUWOJ	isopropyl alcohol	0.00842067	0.0075000330637676246
ABUWOJ	acetone	0.06548949999999999	0.09923431504479764
ABUWOJ	propyl alcohol	0.00328982	0.0033639901982120283
ABUWOJ	methyl isopropyl ether	0.0456495	0.13195842480942582
ABUWOJ	methyl tert-butyl ether	0.00359822	0.007236714316966183
ABUWOJ	methyl propyl ether	0.216867	0.046084649823826096
ABUWOJ	2,3-dimethylbutane	0.00986305	0.03592986557718732
ABUWOJ	2-pentene	0.311835	0.13986711402215363
ABUWOJ	4,4-dimethyl-1-pentene	0.0232065	0.01763578174553985
ABUWOJ	3-methylpentane	0.196659	0.1660557452835802
ABUWOJ	methyl propyl ketone	0.158625	0.09751139453357653
ABUWOJ	4-methyl-1-hexene	0.8274790000000001	1.304758203760385
ABUWOJ	1,5-heptadiene	22.6849	7.116913407210652
ABUWOJ	4-methyl-4-penten-2-one	11.579	11.923016212567866
ACOLIP	methane	1.1e-05	8.653384473824254e-06
ACOLIP	4,4-dimethyl-1-pentene	1.49e-10	4.950475402386719e-10
ACOLIP	neopentane	1.9e-09	6.289924976319787e-09
ACOLIP	ethene	6.82e-05	5.7672343540517674e-05
ACOLIP	ethane	0.000117855	0.00014644939819844044
ACOLIP	methyl tert-butyl ether	7.79e-09	4.612811247942363e-08
ACOLIP	hydrogen cyanide	0.000647435	0.0014376840439711918
ACOLIP	propane	0.000559127	0.0007835808551392852
ACOLIP	dimethyl ether	0.00164069	0.0023923247377073105
ACOLIP	acetonitrile	0.0045019	0.015128598835150492
ACOLIP	isobutane	0.000257683	0.00010850074933719663
ACOLIP	acetaldehyde	0.00664116	0.014596292047024844
ACOLIP	2,3-dimethylbutane	6.88e-06	1.5995568432573014e-06
ACOLIP	propionitrile	0.0257649	0.03572053540518676
ACOLIP	ethylamine	0.00905141	0.013919289194591232
ACOLIP	methyl isopropyl ether	0.00175774	0.0021733188705186724
ACOLIP	isopentane	0.0004969919999999999	3.820549251616475e-05
ACOLIP	dimethylamine	0.0179793	0.015215766446992051
ACOLIP	methyl propyl ether	0.00534204	0.002628874169177556
ACOLIP	acetone	0.08050349999999999	0.11352953350808243
ACOLIP	3-methylpentane	0.000139243	0.0001017784620339761
ACOLIP	2-pentene	0.00448179	0.002702040642586205
ACOLIP	isopropyl alcohol	0.0568984	0.02761912076444327
ACOLIP	4-methyl-1-hexene	0.000153889	0.00012193286388455002
ACOLIP	methyl propyl ketone	0.00043456699999999996	0.0008100376149951195
ACOLIP	propyl alcohol	0.143214	0.015779261476492296
ACOLIP	4-methyl-4-penten-2-one	0.00872485	0.00968811129571149
AFITIT	methane	1.12e-05	1.2324900289425667e-05
AFITIT	ethene	0.0001099	8.721724907392255e-05
AFITIT	ethane	0.00026627599999999997	0.00023085274985644737
AFITIT	hydrogen cyanide	0.000262769	0.0004979246019900254
AFITIT	acetonitrile	0.0106603	0.020456209158242533
AFITIT	acetaldehyde	0.0104598	0.009668212373389244
AFITIT	dimethylamine	0.015201300000000001	0.016865457284702543
AFITIT	ethylamine	0.0193195	0.020792516120686843
AFITIT	isobutane	0.033014999999999996	0.02729850553202451
AFITIT	propionitrile	0.0901124	0.13737033649037877
AFITIT	neopentane	0.0727847	0.031728334035077375
AFITIT	methyl propyl ether	0.165117	0.13797903378669402
AFITIT	acetone	0.290195	0.31738862434984
AFITIT	2-pentene	0.362958	0.2935191749586655
AFITIT	isopentane	0.254601	0.2399748187846486
AFITIT	isopropyl alcohol	0.0765591	0.0733105971498061
AFITIT	methyl isopropyl ether	0.49156400000000006	0.6652037729025736
